Timestamp,TrafficCount
2020-01-26 14:00:00,281.0
2020-01-26 15:00:00,220.0
2020-01-26 16:00:00,247.0
2020-01-26 17:00:00,273.0
2020-01-26 18:00:00,312.0
2020-01-26 19:00:00,378.0
2020-01-26 20:00:00,391.0
2020-01-26 21:00:00,585.0
2020-01-26 22:00:00,1092.0
2020-01-26 23:00:00,591.0
2020-01-27 00:00:00,384.0
2020-01-27 01:00:00,54.0
2020-01-27 02:00:00,630.0
2020-01-27 03:00:00,104.0
2020-01-27 04:00:00,229.0
2020-01-27 05:00:00,604.0
2020-01-27 06:00:00,459.0
2020-01-27 07:00:00,1201.0
2020-01-27 08:00:00,4929.0
2020-01-27 09:00:00,10575.0
2020-01-27 10:00:00,19226.0
2020-01-27 11:00:00,22354.0
2020-01-27 12:00:00,12963.0
2020-01-27 13:00:00,18882.0
2020-01-27 14:00:00,18978.0
2020-01-27 15:00:00,14500.0
2020-01-27 16:00:00,12747.0
2020-01-27 17:00:00,8000.0
2020-01-27 18:00:00,5748.0
2020-01-27 19:00:00,3864.0
2020-01-27 20:00:00,2333.0
2020-01-27 21:00:00,1671.0
2020-01-27 22:00:00,1062.0
2020-01-27 23:00:00,730.0
2020-01-28 00:00:00,287.0
2020-01-28 01:00:00,586.0
2020-01-28 02:00:00,259.0
2020-01-28 03:00:00,100.0
2020-01-28 04:00:00,42.0
2020-01-28 05:00:00,416.0
2020-01-28 06:00:00,508.0
2020-01-28 07:00:00,3715.0
2020-01-28 08:00:00,11569.0
2020-01-28 09:00:00,32812.0
2020-01-28 10:00:00,57912.0
2020-01-28 11:00:00,57920.0
2020-01-28 12:00:00,36753.0
2020-01-28 13:00:00,36332.0
2020-01-28 14:00:00,67709.0
2020-01-28 15:00:00,53326.0
2020-01-28 16:00:00,28977.0
2020-01-28 17:00:00,21362.0
2020-01-28 18:00:00,13204.0
2020-01-28 19:00:00,7271.0
2020-01-28 20:00:00,5412.0
2020-01-28 21:00:00,3366.0
2020-01-28 22:00:00,2418.0
2020-01-28 23:00:00,1598.0
2020-01-29 00:00:00,751.0
2020-01-29 01:00:00,301.0
2020-01-29 02:00:00,400.0
2020-01-29 03:00:00,263.0
2020-01-29 04:00:00,640.0
2020-01-29 05:00:00,789.0
2020-01-29 06:00:00,902.0
2020-01-29 07:00:00,3080.0
2020-01-29 08:00:00,7548.0
2020-01-29 09:00:00,16324.0
2020-01-29 10:00:00,27762.0
2020-01-29 11:00:00,37382.0
2020-01-29 12:00:00,28917.0
2020-01-29 13:00:00,33851.0
2020-01-29 14:00:00,39130.0
2020-01-29 15:00:00,30129.0
2020-01-29 16:00:00,28605.0
2020-01-29 17:00:00,21211.0
2020-01-29 18:00:00,14628.0
2020-01-29 19:00:00,7809.0
2020-01-29 20:00:00,5129.0
2020-01-29 21:00:00,5841.0
2020-01-29 22:00:00,2739.0
2020-01-29 23:00:00,1168.0
2020-01-30 00:00:00,544.0
